Vigencia_Inicio,Vigencia_Fin,Aeropuerto,Nom_Aeropuerto,Gpo_Consumo,Tipo,Tarifa,No.,Descripcion,Precio_Pemex,Descnto_Pemex,Almacenamiento_Origen,Almacenamiento_Base,Almacenamiento_Hidrante,Alm_Horario_Extraordinario,Expedio_Autotanque,Expendio _ispensador,Exp_Horario_extraordinario,Tarifa_Succion,COM_ALM_EXP_AUTOTANQUE,COM_ALM_EXP_HIDRANTE,COM_ALM_EXP_AUTOTANQUE,COM_ALM_EXP_HIDRANTE,ALM_EXP_AUTOTANQUE,ALM_EXP_HIDRANTE,ALM_EXP_AUTOTANQUE,ALM_EXP_HIDRANTE
30112021,06122021,ACA,ACAPULCO,GPO 04-A,4-A,Contractual,101,TURBOSINA, $14.73520 ,-$0.50320 , $-   , $0.16873 , $-   , $-   , $0.31274 , $-   , $-   , $0.31274 , $14.71347 , $-   , $-   , $-   , $0.48147 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 04-B,4-B,Contractual,101,TURBOSINA, $14.73520 ,-$0.50320 , $-   , $0.16873 , $-   , $-   , $0.33151 , $-   , $-   , $0.33151 , $14.73224 , $-   , $-   , $-   , $0.50024 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 04-C,4-C,Contractual,101,TURBOSINA, $14.73520 ,-$0.50320 , $-   , $0.16873 , $-   , $-   , $0.41908 , $-   , $-   , $0.41908 , $14.81981 , $-   , $-   , $-   , $0.58781 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 04-D,4-D,Contractual,101,TURBOSINA, $14.73520 ,-$0.50320 , $-   , $0.16873 , $-   , $-   , $0.46912 , $-   , $-   , $0.46912 , $14.86985 , $-   , $-   , $-   , $0.63785 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 05-A,5-A,Contractual,101,TURBOSINA, $14.73520 ,-$0.56240 , $-   , $0.16873 , $-   , $-   , $0.31274 , $-   , $-   , $0.31274 , $14.65427 , $-   , $-   , $-   , $0.48147 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 05-B,5-B,Contractual,101,TURBOSINA, $14.73520 ,-$0.56240 , $-   , $0.16873 , $-   , $-   , $0.33151 , $-   , $-   , $0.33151 , $14.67304 , $-   , $-   , $-   , $0.50024 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 05-C,5-C,Contractual,101,TURBOSINA, $14.73520 ,-$0.56240 , $-   , $0.16873 , $-   , $-   , $0.41908 , $-   , $-   , $0.41908 , $14.76061 , $-   , $-   , $-   , $0.58781 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 05-D,5-D,Contractual,101,TURBOSINA, $14.73520 ,-$0.56240 , $-   , $0.16873 , $-   , $-   , $0.46912 , $-   , $-   , $0.46912 , $14.81065 , $-   , $-   , $-   , $0.63785 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 06-A,6-A,Contractual,101,TURBOSINA, $14.73520 ,-$0.58016 , $-   , $0.16873 , $-   , $-   , $0.31274 , $-   , $-   , $0.31274 , $14.63651 , $-   , $-   , $-   , $0.48147 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 06-B,6-B,Contractual,101,TURBOSINA, $14.73520 ,-$0.58016 , $-   , $0.16873 , $-   , $-   , $0.33151 , $-   , $-   , $0.33151 , $14.65528 , $-   , $-   , $-   , $0.50024 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 06-C,6-C,Contractual,101,TURBOSINA, $14.73520 ,-$0.58016 , $-   , $0.16873 , $-   , $-   , $0.41908 , $-   , $-   , $0.41908 , $14.74285 , $-   , $-   , $-   , $0.58781 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 06-D,6-D,Contractual,101,TURBOSINA, $14.73520 ,-$0.58016 , $-   , $0.16873 , $-   , $-   , $0.46912 , $-   , $-   , $0.46912 , $14.79289 , $-   , $-   , $-   , $0.63785 , $-   , $-   , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 10-A,10-A,Adicional,101,TURBOSINA, $14.38779 , $-   , $-   , $0.14880 , $-   , $0.07974 , $0.21239 , $-   , $0.10483 , $0.21239 , $14.74898 , $-   , $14.93355 , $-   , $0.36119 , $-   , $0.54576 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 10-B,10-B,Adicional,101,TURBOSINA, $14.38779 , $-   , $-   , $0.14880 , $-   , $0.07974 , $0.22514 , $-   , $0.10483 , $0.22514 , $14.76173 , $-   , $14.94630 , $-   , $0.37394 , $-   , $0.55851 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 10-C,10-C,Adicional,101,TURBOSINA, $14.38779 , $-   , $-   , $0.14880 , $-   , $0.07974 , $0.28461 , $-   , $0.10483 , $0.28461 , $14.82120 , $-   , $15.00577 , $-   , $0.43341 , $-   , $0.61798 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 10-D,10-D,Adicional,101,TURBOSINA, $14.38779 , $-   , $-   , $0.14880 , $-   , $0.07974 , $0.31859 , $-   , $0.10483 , $0.31859 , $14.85518 , $-   , $15.03975 , $-   , $0.46739 , $-   , $0.65196 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 01-A,1-A,Contractual,101,TURBOSINA, $14.38779 ,-$0.05920 , $-   , $0.14880 , $-   , $0.07974 , $0.21239 , $-   , $0.10483 , $0.21239 , $14.68978 , $-   , $14.87435 , $-   , $0.36119 , $-   , $0.54576 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 01-B,1-B,Contractual,101,TURBOSINA, $14.38779 ,-$0.05920 , $-   , $0.14880 , $-   , $0.07974 , $0.22514 , $-   , $0.10483 , $0.22514 , $14.70253 , $-   , $14.88710 , $-   , $0.37394 , $-   , $0.55851 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 01-C,1-C,Contractual,101,TURBOSINA, $14.38779 ,-$0.05920 , $-   , $0.14880 , $-   , $0.07974 , $0.28461 , $-   , $0.10483 , $0.28461 , $14.76200 , $-   , $14.94657 , $-   , $0.43341 , $-   , $0.61798 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 01-D,1-D,Contractual,101,TURBOSINA, $14.38779 ,-$0.05920 , $-   , $0.14880 , $-   , $0.07974 , $0.31859 , $-   , $0.10483 , $0.31859 , $14.79598 , $-   , $14.98055 , $-   , $0.46739 , $-   , $0.65196 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 10-A,10-A,Contractual,101,TURBOSINA, $14.38779 , $-   , $-   , $0.14880 , $-   , $0.07974 , $0.21239 , $-   , $0.10483 , $0.21239 , $14.74898 , $-   , $14.93355 , $-   , $0.36119 , $-   , $0.54576 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 10-B,10-B,Contractual,101,TURBOSINA, $14.38779 , $-   , $-   , $0.14880 , $-   , $0.07974 , $0.22514 , $-   , $0.10483 , $0.22514 , $14.76173 , $-   , $14.94630 , $-   , $0.37394 , $-   , $0.55851 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 10-C,10-C,Contractual,101,TURBOSINA, $14.38779 , $-   , $-   , $0.14880 , $-   , $0.07974 , $0.28461 , $-   , $0.10483 , $0.28461 , $14.82120 , $-   , $15.00577 , $-   , $0.43341 , $-   , $0.61798 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 10-D,10-D,Contractual,101,TURBOSINA, $14.38779 , $-   , $-   , $0.14880 , $-   , $0.07974 , $0.31859 , $-   , $0.10483 , $0.31859 , $14.85518 , $-   , $15.03975 , $-   , $0.46739 , $-   , $0.65196 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 02-A,2-A,Contractual,101,TURBOSINA, $14.38779 ,-$0.29600 , $-   , $0.14880 , $-   , $0.07974 , $0.21239 , $-   , $0.10483 , $0.21239 , $14.45298 , $-   , $14.63755 , $-   , $0.36119 , $-   , $0.54576 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 02-B,2-B,Contractual,101,TURBOSINA, $14.38779 ,-$0.29600 , $-   , $0.14880 , $-   , $0.07974 , $0.22514 , $-   , $0.10483 , $0.22514 , $14.46573 , $-   , $14.65030 , $-   , $0.37394 , $-   , $0.55851 , $-   
